	accu_reward	avg_food_distance	time_passed
0	-3481.5951923077087	0.8361775908537767	2667500.0
1	12.186875000000013	0.8757194183350282	76500.0
2	-11228.97961538483	0.7024305473739391	8393000.0
3	87.3610576923077	0.8083891417750732	34500.0
4	59.478545673076916	1.2774173269985503	39500.0
5	74.26479567307692	1.1773454112414539	59500.0
6	81.0653846153846	1.1293322756254935	73000.0
7	31.821406250000003	1.0535619647573071	46000.0
8	60.89802884615385	0.9249250779812639	45500.0
9	13.320973557692307	1.1002072879555438	39000.0
10	23.10674278846153	1.0726763756027817	55500.0
11	37.09820913461537	0.7611064248299652	59000.0
12	14.040661057692311	0.999899582594358	34500.0
13	31.37457932692307	0.9154052987428355	41500.0
14	96.46844951923076	0.7200560134873314	40000.0
15	105.96531250000001	0.8891826751485509	27000.0
16	74.08389423076922	0.7513502511513102	41000.0
17	65.45022836538462	0.5646900939152766	30500.0
18	53.70650240384616	0.7556627853120071	19500.0
19	43.541923076923084	1.0500405773413777	62000.0
20	28.84008413461538	0.9705876473222484	92000.0
21	25.028317307692312	0.720617391509684	30500.0
22	64.83706730769231	0.43469223816605557	25500.0
23	77.89233173076921	1.0804033921085545	14500.0
24	46.84792067307693	0.9747292141819577	43500.0
25	65.78477163461537	1.0733227837079244	43000.0
26	69.59868990384616	1.142523523501143	46500.0
27	34.51406250000001	0.5287513366342231	50000.0
28	7.0260817307692225	0.9842359617307535	81000.0
29	34.96105769230769	0.9012276060065061	41000.0
30	87.79885817307695	1.0360824123867973	44000.0
31	18.581045673076915	0.7183607013590316	34500.0
32	45.83500000000001	0.8179506536130048	28500.0
33	-10.039783653846158	0.9785527190800375	102500.0
34	67.48395432692307	0.8747906287032128	49500.0
35	37.985180288461535	0.8586466607398039	51500.0
36	23.394975961538456	1.0693453416935899	29000.0
37	79.15715144230768	1.0986987959565138	40000.0
38	46.287127403846156	0.8327885622874354	52500.0
39	70.6076923076923	0.9970738578417228	48000.0
40	0.16657451923077782	0.6291931825672802	56500.0
41	42.999375	0.8893791800249462	77000.0
42	-56.80026442307688	1.0652304596569848	171500.0
43	37.22612980769232	0.7985446454670138	35000.0
44	60.44151442307693	1.067927064360517	36500.0
45	14.099735576923077	1.1127000108749887	43000.0
46	119.31602163461538	0.9141203628615676	36500.0
47	48.887019230769226	0.7849347235630588	48000.0
48	68.8315985576923	0.7434594110630981	26500.0
49	4.135180288461537	1.1438158975522985	69500.0
50	-1.6164423076923136	0.8745289592932388	136000.0
51	33.26141826923076	0.9806105029076916	90000.0
52	81.31135817307693	0.6794594900368255	43000.0
53	8.67082932692308	0.9156737057075856	78000.0
54	60.85900240384614	1.0775362619170548	77500.0
55	113.54200721153843	0.8596086057270033	51500.0
56	62.34020432692305	0.8821647724163666	38000.0
57	16.335432692307695	0.8880598903427864	35000.0
58	89.67328125	1.0604185929658447	30500.0
